PH,NH,DH,MSH,PNH,RI,MPH,CT,NT,MSL,CL,CTR,NTR,MCT,MCL,Kurt,Skew,Area,APN,RPA,Aos,Aso,RSD,VPo,PW90,PW75,PW66,PW50,PW33,PW25,PW10,K,PTT,MWS,PNL,NI,AI,SI,P2ocd,AC,DC,mNPV,Ams,PDA,SFm,AFm,AFe,VFD,Ha,Hb,Hc,Hd,He,Hba,Hca,Hda,Hea,AGI,,
3.426,0.732,1.665,2.004,0.214,0.482,0.585,0.539,0.444,0.446,1.006,0.536,0.444,0.826,0.443,0.243,1.261,59.9,9.43,0.159,30.102,29.798,1.014,30.102,14.156,23.037,27.375,34.461,41.832,45.442,52.889,0.298,-0.155,0.032,-0.095,0.958,0.518,1083.870968,0.466,3.468,0.298,0.921,0.116,0.034,0.263,3.426,-3.428,0.691,0.236,-0.105,0.644,-0.57,0.474,-0.307,5.569,-3.053,4.994,-7.816,,
2.886,1.524,1.609,1.609,0.528,0.558,0.558,0.488,0.646,0.367,0.931,0.524,0.694,0.753,0.395,-1.013,0.664,68.641,40.624,0.592,29.97,38.671,0.776,29.97,17.335,28.316,33.743,42.752,52.405,57.276,67.626,0.369,-0.121,0.03,0.158,2.266,0.442,1239.669421,0.443,2.91,0.369,0.888,0.084,0.029,0.23,2.886,-2.892,0.098,0.383,-0.127,0.158,-0.525,0.16,-0.328,0.414,-1.375,0.426,0.207,,
1.72,0.326,0.497,0.858,0.188,0.284,0.499,0.309,0.477,0.206,0.726,0.419,0.653,0.622,0.274,-0.784,0.807,53.952,17.124,0.318,23.832,30.12,0.814,23.832,13.583,21.952,25.955,32.321,38.637,41.577,47.225,0.376,0.12,0.031,0.167,3.198,0.716,1400,0.417,1.821,0.376,0.829,0.065,0.038,0.406,1.72,-1.779,0.204,0.376,-0.383,0.312,-0.308,0,-1.05,0.836,-0.8,0,-1.086,,
3.404,1.021,0.766,1.79,0.299,0.229,0.526,0.302,0.485,0.19,0.745,0.405,0.65,0.614,0.254,-1.157,0.619,54.537,41.576,0.763,23.76,30.777,0.774,23.76,15.426,25.048,29.711,37.242,44.879,48.506,55.611,0.366,0.19,0.058,0.182,1.904,0.771,857.8947368,0.443,3.443,0.366,0.904,0.113,0.033,0.649,3.404,-3.405,0.435,0.526,-0.478,0.275,-0.337,0.07,-0.905,0.524,-0.647,0.131,-0.912,,
3.376,0.752,0.975,2.021,0.222,0.286,0.598,0.574,0.412,0.483,1.021,0.562,0.403,0.839,0.472,0.205,1.198,61.515,0,0,30.414,31.102,0.986,30.414,13.969,22.775,27.103,34.237,41.793,45.581,53.75,0.302,-0.264,0.03,-0.162,0.683,0.714,625,0.447,3.407,0.302,0.919,0.115,0.034,0.241,3.376,-3.382,0.564,0.189,-0.167,0.659,-0.406,0.571,-1.328,7.192,-2.651,8.321,-14.19,,
3.325,0.892,0.645,2.051,0.268,0.194,0.617,0.634,0.472,0.542,1.019,0.622,0.463,0.855,0.532,-0.013,1.073,68.221,0,0,36.635,31.586,1.16,36.635,14.179,23.174,27.625,35.029,43.019,47.114,56.246,0.335,-0.356,0.026,-0.162,0.861,0.806,477.5280899,0.386,3.341,0.335,0.909,0.108,0.032,0.199,3.325,-3.316,0.311,0.248,-0.21,0.669,-0.322,0.416,-0.834,2.932,-1.328,1.921,-4.359,,
2.999,1.557,1.026,1.523,0.519,0.342,0.508,0.238,0.379,0.128,0.856,0.277,0.443,0.539,0.149,-0.936,0.7,59.776,38.917,0.651,21.954,37.822,0.581,21.954,15.253,24.914,29.684,37.621,46.23,50.694,60.932,0.349,0.221,0.063,0.142,0.795,0.658,751.1312217,0.618,3.011,0.349,0.896,0.106,0.035,0.831,2.999,-3.005,0.245,0.559,-0.724,0.258,-0.096,0.244,-1.297,0.463,-0.172,0.437,-2.024,,
2.914,0.772,1.03,1.848,0.261,0.342,0.634,0.685,0.452,0.575,1.13,0.606,0.398,0.837,0.508,-0.331,1.019,71.404,0,0,38.628,32.776,1.194,38.628,17.612,28.725,34.193,43.201,52.709,57.432,67.376,0.316,-0.286,0.022,-0.233,0.69,0.658,541.958042,0.445,2.963,0.316,0.903,0.075,0.026,0.133,2.914,-2.904,0.297,0.066,-0.021,0.279,-0.158,0.25,-0.193,5.127,-2.404,4.535,-7.451,,
2.816,1.411,1.199,1.432,0.5,0.427,0.509,0.313,0.465,0.2,0.948,0.326,0.489,0.603,0.205,-0.773,0.732,65.779,38.158,0.58,23.707,42.073,0.567,23.707,15.746,25.698,30.612,38.78,47.68,52.371,64.162,0.352,0.131,0.05,0.152,1.016,0.573,1312.977099,0.635,2.848,0.352,0.89,0.096,0.034,0.598,2.816,-2.834,0.188,0.484,-0.493,0.271,-0.283,0.222,-1.007,0.566,-0.605,0.463,-1.432,,
2.934,1.415,1.238,1.422,0.482,0.422,0.484,0.174,0.293,0.087,0.53,0.328,0.553,0.5,0.164,-0.954,0.217,50.465,21.782,0.432,16.661,33.804,0.493,16.661,10.598,17.168,20.324,25.403,30.556,33.028,38.048,0.476,0.184,0.085,0.119,1.237,0.578,934.7826087,0.356,2.953,0.476,0.861,0.136,0.046,1.569,2.934,-2.928,0.446,1.093,-1.163,0.63,-0.548,0,-1.064,0.576,-0.501,0,-1.139,,
3.248,2.29,1.987,1.558,0.705,0.611,0.48,0.206,0.317,0.102,0.756,0.273,0.419,0.494,0.135,-1.201,0.237,70.779,30.302,0.428,20.198,50.582,0.401,20.198,13.606,22.466,27.024,35.181,47.878,55.474,67.367,0.468,0.173,0.079,0.111,0.726,0.389,982.6589595,0.55,3.302,0.468,0.876,0.131,0.04,1.295,3.248,-3.242,0.167,0.867,-0.911,0.304,-0.253,0.316,-1.052,0.342,-0.278,0.351,-1.467,,
3.019,1.875,1.64,1.636,0.621,0.543,0.542,0.399,0.547,0.276,0.953,0.417,0.573,0.67,0.287,-1.154,0.493,74.013,41.136,0.556,28.279,45.734,0.624,28.279,17.551,28.838,34.528,44.279,55.527,61.693,75.467,0.391,-0.008,0.04,0.147,1.435,0.457,1950,0.554,3.065,0.391,0.887,0.089,0.029,0.388,3.019,-3.017,0.106,0.38,-0.225,0.164,-0.374,0.202,-0.528,0.462,-1.09,0.57,-0.469,,
3.146,2.161,1.783,1.567,0.687,0.567,0.498,0.264,0.405,0.136,0.936,0.282,0.432,0.513,0.145,-1.208,0.335,82.543,38.597,0.468,25.464,57.079,0.446,25.464,17.194,28.325,34,44.004,56.809,64.947,80.312,0.441,0.217,0.06,0.14,0.761,0.433,783.4101382,0.673,3.168,0.441,0.878,0.099,0.032,0.732,3.146,-3.145,0.066,0.489,-0.554,0.162,-0.104,0.156,-1.134,0.332,-0.213,0.32,-1.573,,
3.015,1.66,1.379,1.528,0.55,0.456,0.507,0.382,0.532,0.263,0.907,0.414,0.588,0.654,0.276,-0.934,0.58,66.194,42.249,0.639,25.262,40.933,0.618,25.262,16.638,27.214,32.474,41.311,51.148,56.445,69.062,0.381,0.037,0.044,0.15,1.476,0.544,1324.324324,0.525,3.041,0.381,0.889,0.098,0.033,0.479,3.015,-3.025,0.14,0.486,-0.371,0.211,-0.388,0.245,-0.757,0.433,-0.806,0.504,-0.887,,
3.354,1.748,1.208,1.659,0.521,0.36,0.495,0.247,0.404,0.126,0.675,0.366,0.598,0.509,0.186,-1.265,0.22,63.121,35.727,0.566,23.881,39.24,0.609,23.881,15.183,24.625,29.198,36.596,44.172,47.831,55.243,0.468,0.237,0.068,0.157,1.49,0.64,658.2278481,0.428,3.373,0.468,0.878,0.11,0.033,0.877,3.354,-3.351,0.132,0.592,-0.669,0.242,-0.14,0,-1.131,0.411,-0.236,0,-1.305,,
3.055,1.463,0.472,1.579,0.479,0.155,0.517,0.247,0.397,0.136,0.744,0.332,0.534,0.552,0.183,-1.133,0.55,59.078,36.191,0.613,22.581,36.498,0.62,22.581,14.942,24.335,28.926,36.428,44.209,47.99,55.614,0.397,0.327,0.062,0.151,1.155,0.845,495.412844,0.497,3.076,0.397,0.886,0.105,0.034,0.779,3.055,-3.065,0.209,0.525,-0.713,0.217,0.012,0.055,-1.377,0.434,0.01,0.095,-1.915,,
3.597,1.835,1.714,1.777,0.504,0.473,0.493,0.254,0.39,0.154,0.839,0.302,0.47,0.569,0.178,-0.645,0.49,72.611,38.227,0.534,22.075,50.536,0.457,22.075,13.241,21.554,25.639,32.395,39.772,43.945,65.035,0.44,0.15,0.079,0.136,0.945,0.527,1133.333333,0.585,3.76,0.44,0.895,0.143,0.04,1.161,3.597,-3.519,0.432,0.882,-0.977,0.551,-0.469,0.274,-1.112,0.642,-0.56,0.331,-1.524,,
3.739,1.682,1.233,1.899,0.449,0.329,0.508,0.23,0.378,0.122,0.882,0.261,0.429,0.53,0.138,-0.61,0.818,65.336,45.124,0.69,21.871,43.465,0.504,21.871,14.546,23.665,28.119,35.407,43.062,46.886,55.242,0.371,0.236,0.081,0.149,0.752,0.671,656.779661,0.652,3.794,0.371,0.911,0.135,0.036,1.113,3.739,-3.752,0.386,0.74,-0.959,0.456,-0.187,0.235,-1.298,0.62,-0.255,0.32,-1.983,,
3.61,1.842,1.568,1.79,0.51,0.434,0.496,0.198,0.324,0.103,0.774,0.256,0.418,0.518,0.132,-0.69,0.598,63.876,35.357,0.554,18.87,45.006,0.42,18.87,12.401,20.189,24.001,30.272,36.967,40.423,50.412,0.413,0.2,0.091,0.126,0.719,0.566,830,0.576,3.655,0.413,0.898,0.15,0.042,1.468,3.61,-3.631,0.393,0.971,-1.194,0.602,-0.332,0.313,-1.232,0.622,-0.342,0.32,-1.832,,
3.412,1.704,1.565,1.689,0.499,0.458,0.495,0.218,0.362,0.113,0.909,0.24,0.398,0.517,0.124,-0.715,0.625,72.378,38.599,0.534,20.77,51.608,0.403,20.77,13.921,22.648,26.925,33.975,41.56,45.545,66.533,0.398,0.224,0.078,0.144,0.662,0.542,772.3214286,0.691,3.44,0.398,0.896,0.128,0.038,1.138,3.412,-3.398,0.404,0.764,-0.915,0.505,-0.371,0.391,-1.197,0.659,-0.486,0.513,-1.883,,
3.418,1.898,1.486,1.719,0.555,0.434,0.503,0.228,0.366,0.12,0.746,0.305,0.491,0.524,0.16,-0.935,0.292,68.394,33.913,0.497,21.513,46.881,0.462,21.513,13.745,22.387,26.627,33.615,41.107,44.975,54.198,0.458,0.241,0.076,0.138,0.976,0.566,684.6473029,0.519,3.438,0.458,0.882,0.124,0.036,1.058,3.418,-3.409,0.229,0.706,-0.861,0.371,-0.188,0.017,-1.252,0.569,-0.306,0.019,-1.535,,
2.778,1.22,1.205,1.345,0.432,0.431,0.483,0.199,0.341,0.099,0.653,0.306,0.525,0.499,0.153,-0.738,0.172,64.433,22.666,0.357,19.935,44.498,0.453,19.935,12.029,19.471,23.054,28.805,34.648,37.473,44.597,0.494,0.222,0.07,0.142,1.12,0.569,765.7657658,0.454,2.905,0.494,0.853,0.112,0.041,1.135,2.778,-2.784,0.498,0.784,-0.859,0.524,-0.444,0.006,-1.105,0.686,-0.59,0.007,-1.207,,
3.475,1.501,1.476,1.658,0.43,0.424,0.476,0.212,0.335,0.125,0.764,0.277,0.438,0.551,0.16,-0.434,0.694,61.327,31.523,0.516,18.188,43.14,0.426,18.188,11.241,18.241,21.642,27.173,32.927,35.784,42.127,0.404,0.145,0.089,0.122,0.834,0.576,1124.137931,0.551,3.576,0.404,0.898,0.163,0.047,1.584,3.475,-3.482,0.805,1.201,-1.291,0.861,-0.739,0.589,-1.086,0.717,-0.605,0.488,-1.686,,
2.887,1.737,1.447,1.407,0.596,0.497,0.487,0.226,0.364,0.113,0.706,0.328,0.529,0.499,0.164,-1.08,0.095,69.595,29.925,0.427,23,46.594,0.501,23,14.314,23.384,27.895,35.716,44.585,48.801,58.53,0.499,0.208,0.064,0.138,1.17,0.503,879.8076923,0.48,3.04,0.499,0.857,0.104,0.036,0.936,2.887,-2.883,0.149,0.638,-0.676,0.28,-0.258,0.063,-1.085,0.468,-0.435,0.105,-1.224,,
4.224,1.633,2.312,2.312,0.386,0.548,0.548,0.404,0.538,0.312,0.784,0.515,0.686,0.774,0.398,-0.491,0.949,53.837,46.758,0.869,24.074,29.763,0.81,24.074,12.937,21.055,25.012,31.463,38.165,41.453,48.291,0.343,-0.091,0.052,0.135,2.189,0.452,1868.131868,0.38,4.269,0.343,0.925,0.162,0.038,0.518,4.224,-4.203,0.77,0.994,-0.442,0.707,-1.391,0,-0.444,0.712,-1.4,0,0.244,,
3.315,2.271,1.75,1.662,0.685,0.528,0.501,0.255,0.386,0.134,0.846,0.302,0.456,0.523,0.158,-1.264,0.388,71.685,39.315,0.548,24.213,47.472,0.51,24.213,16.595,27.314,32.751,42.133,52.952,58.663,69.927,0.423,0.2,0.065,0.13,0.838,0.472,780,0.591,3.328,0.423,0.887,0.109,0.033,0.818,3.315,-3.314,0.1,0.548,-0.643,0.133,-0.059,0.172,-1.174,0.241,-0.108,0.314,-1.622,,
3.158,1.562,1.764,1.764,0.494,0.559,0.559,0.434,0.58,0.325,0.825,0.526,0.704,0.748,0.393,-1.029,0.673,60.11,40.687,0.677,26.643,33.467,0.796,26.643,15.675,25.575,30.446,38.472,46.933,51.117,59.75,0.364,-0.109,0.036,0.147,2.375,0.441,1431.192661,0.391,3.18,0.364,0.897,0.1,0.032,0.308,3.158,-3.153,0.18,0.478,-0.126,0.208,-0.698,0.209,-0.264,0.435,-1.461,0.435,0.327,,
3.055,1.428,1.643,1.643,0.466,0.538,0.538,0.4,0.534,0.301,0.798,0.501,0.67,0.753,0.377,-0.804,0.751,56.487,35.415,0.627,23.329,33.158,0.708,23.329,13.774,22.456,26.722,33.763,41.282,45.122,53.972,0.354,-0.099,0.038,0.135,2.03,0.462,1767.676768,0.398,3.079,0.354,0.897,0.112,0.037,0.373,3.055,-3.056,0.244,0.624,-0.209,0.398,-0.883,0.21,-0.335,0.638,-1.416,0.336,0.107,,
3.121,1.403,1.728,1.728,0.45,0.554,0.554,0.436,0.587,0.328,0.843,0.517,0.696,0.753,0.39,-0.91,0.751,58.917,40.915,0.694,25.889,33.028,0.785,25.889,15.475,25.221,30.003,37.853,46.095,50.171,58.653,0.35,-0.108,0.036,0.151,2.295,0.446,1481.481481,0.407,3.148,0.35,0.9,0.101,0.032,0.309,3.121,-3.123,0.221,0.488,-0.129,0.26,-0.72,0.187,-0.264,0.536,-1.477,0.382,0.296,,
3.011,1.717,1.132,1.528,0.57,0.376,0.508,0.241,0.375,0.132,0.805,0.3,0.466,0.546,0.164,-1.107,0.58,59.778,37.129,0.621,22.042,37.736,0.584,22.042,15.144,24.772,29.555,37.565,46.34,50.905,60.992,0.371,0.21,0.062,0.134,0.872,0.624,809.5238095,0.564,3.028,0.371,0.891,0.106,0.035,0.808,3.011,-3.014,0.202,0.547,-0.724,0.211,-0.06,0.211,-1.323,0.386,-0.11,0.385,-1.985,,
2.354,1.511,0.605,0.605,0.644,0.259,0.259,0.629,0.451,0.281,1.246,0.505,0.362,0.447,0.226,-1.484,-0.01,126.36,0,0,49.691,76.669,0.649,49.691,47.625,64.137,70.726,81.41,93.108,99.311,113.144,0.507,-0.348,0.019,-0.178,0.568,0.741,479.8850575,0.618,2.354,0.507,0.822,0.038,0.016,0.135,2.354,-2.269,0.078,0.205,-0.074,0.107,-0.123,0.063,-0.363,0.519,-0.601,0.307,-0.588,,
2.572,1.404,0.915,1.274,0.529,0.339,0.495,0.241,0.389,0.124,0.724,0.337,0.547,0.517,0.174,-1.163,0.247,68.349,29.561,0.433,24.451,43.898,0.568,24.451,15.142,24.673,29.358,37.101,45.512,50.042,59.3,0.476,0.243,0.053,0.149,1.249,0.661,637.8600823,0.484,2.752,0.476,0.85,0.088,0.034,0.704,2.572,-2.649,0.088,0.472,-0.553,0.181,-0.084,0.057,-1.179,0.395,-0.194,0.117,-1.498,,
2.497,2.05,1.453,1.267,0.82,0.58,0.507,0.328,0.434,0.205,1.068,0.305,0.407,0.602,0.189,-1.263,0.494,81.544,29.166,0.358,25.375,56.17,0.453,25.375,18.698,32.141,40.167,55.516,68.639,73.811,82.995,0.385,0.086,0.041,0.107,0.705,0.42,1000,0.74,2.516,0.385,0.867,0.083,0.033,0.472,2.497,-2.504,0.063,0.416,-0.334,0.073,-0.25,0.15,-0.808,0.178,-0.596,0.361,-0.751,,
2.812,1.085,1.616,1.616,0.386,0.575,0.575,0.489,0.662,0.374,0.919,0.533,0.72,0.765,0.407,-0.838,0.812,63.044,39.634,0.629,29.639,33.405,0.888,29.639,16.791,27.333,32.48,40.877,49.573,53.801,62.38,0.343,-0.115,0.029,0.172,2.571,0.425,1339.130435,0.43,2.823,0.343,0.892,0.081,0.029,0.216,2.812,-2.807,0.202,0.355,-0.102,0.216,-0.548,0.015,-0.287,0.609,-1.545,0.042,0.607,,
2.975,1.714,1.524,1.547,0.576,0.512,0.52,0.37,0.459,0.263,1.006,0.365,0.46,0.689,0.257,-0.83,0.748,66.042,34.683,0.528,23.042,43,0.537,23.042,15.654,25.858,31.097,40.433,52.846,61.135,75.471,0.332,-0.005,0.043,0.089,0.912,0.488,1300,0.636,2.986,0.332,0.9,0.106,0.036,0.474,2.975,-2.978,0.147,0.508,-0.349,0.273,-0.54,0.205,-0.776,1.018,-1.643,0.583,-0.734,,
2.896,1.849,1.515,1.515,0.638,0.523,0.523,0.466,0.599,0.352,1.119,0.416,0.535,0.757,0.315,-0.784,0.771,75.535,39.872,0.528,25.827,49.708,0.52,25.827,16.502,27.262,32.804,42.797,57.365,68.377,83.712,0.337,-0.113,0.031,0.133,1.15,0.477,1530.973451,0.654,2.908,0.337,0.896,0.097,0.034,0.276,2.896,-2.893,0.103,0.503,-0.176,0.227,-0.633,0.188,-0.35,0.452,-1.258,0.375,0.081,,
3.165,2.011,1.511,1.585,0.636,0.477,0.501,0.272,0.419,0.143,0.941,0.289,0.446,0.524,0.152,-1.183,0.503,74.196,42.92,0.579,25.687,48.509,0.53,25.687,17.692,29.053,34.772,44.555,55.808,61.948,75.104,0.394,0.224,0.058,0.147,0.805,0.523,785.7142857,0.668,3.174,0.394,0.889,0.098,0.031,0.687,3.165,-3.162,0.126,0.461,-0.553,0.143,-0.07,0.183,-1.201,0.31,-0.152,0.398,-1.756,,
3,1.256,0.861,1.517,0.419,0.287,0.506,0.244,0.41,0.128,0.69,0.355,0.597,0.526,0.187,-1.158,0.412,61.451,31.58,0.514,23.341,38.11,0.619,23.341,14.744,23.879,28.284,35.361,42.522,45.938,52.785,0.447,0.251,0.062,0.167,1.529,0.713,653.3864542,0.447,3.046,0.447,0.872,0.101,0.034,0.801,3,-2.906,0.213,0.542,-0.67,0.312,-0.162,0.03,-1.261,0.598,-0.308,0.042,-1.593,,
2.752,1.3,1.032,1.347,0.462,0.367,0.491,0.221,0.369,0.112,0.652,0.339,0.567,0.507,0.172,-1.007,0.241,63.765,26.261,0.412,22.553,41.211,0.548,22.553,13.509,21.891,25.944,32.474,39.133,42.343,48.891,0.49,0.229,0.063,0.148,1.314,0.633,742.3580786,0.431,2.932,0.49,0.856,0.102,0.037,0.925,2.752,-2.804,0.218,0.632,-0.708,0.351,-0.279,0,-1.143,0.578,-0.465,0,-1.256,,
2.915,1.927,1.639,1.437,0.668,0.571,0.493,0.311,0.462,0.169,0.9,0.346,0.517,0.53,0.188,-1.205,0.179,87.936,36.093,0.434,29.5,58.437,0.529,29.5,18.902,31.048,37.173,47.193,58.892,65.29,79.687,0.487,0.169,0.048,0.151,1.13,0.429,964.4970414,0.589,3.041,0.487,0.861,0.087,0.03,0.565,2.915,-2.851,0.087,0.423,-0.411,0.153,-0.197,0.166,-0.986,0.374,-0.464,0.397,-1.294,,
3.068,2.051,1.529,1.56,0.668,0.498,0.508,0.29,0.437,0.156,0.925,0.314,0.473,0.538,0.169,-1.295,0.424,74.826,42.189,0.564,26.914,47.911,0.562,26.914,18.64,30.651,36.713,47.049,58.548,64.366,75.717,0.405,0.22,0.053,0.147,0.897,0.502,736.3636364,0.634,3.075,0.405,0.884,0.09,0.029,0.578,3.068,-3.063,0.104,0.392,-0.483,0.083,-0.033,0.148,-1.231,0.211,-0.084,0.377,-1.735,,
3.059,1.996,1.502,1.535,0.652,0.491,0.502,0.276,0.423,0.146,0.928,0.298,0.456,0.527,0.157,-1.205,0.437,77.033,40.387,0.524,25.984,51.049,0.509,25.984,17.745,29.155,34.903,44.739,56.008,62.099,75.065,0.415,0.228,0.055,0.147,0.839,0.509,710.5263158,0.652,3.073,0.415,0.881,0.094,0.031,0.644,3.059,-3.059,0.083,0.435,-0.518,0.127,-0.051,0.137,-1.197,0.295,-0.122,0.32,-1.691,,
3.052,0.901,1.071,1.612,0.29,0.338,0.526,0.321,0.469,0.223,0.8,0.394,0.589,0.659,0.268,-0.495,0.866,56.233,35.267,0.653,22.978,33.255,0.74,22.978,13.517,21.947,26.036,32.656,39.435,42.704,49.314,0.359,0.071,0.053,0.149,1.491,0.662,1619.71831,0.48,3.207,0.359,0.898,0.115,0.038,0.661,3.052,-3.078,0.579,0.662,-0.6,0.52,-0.593,0.085,-0.914,0.801,-0.896,0.138,-0.957,,
3.249,1.818,1.281,1.63,0.557,0.402,0.505,0.23,0.37,0.123,0.807,0.287,0.459,0.532,0.153,-0.999,0.476,68.187,37.694,0.556,22.345,45.841,0.494,22.345,14.43,23.643,28.252,36.099,45.328,49.977,61.399,0.425,0.229,0.071,0.139,0.859,0.598,742.3580786,0.576,3.371,0.425,0.886,0.12,0.037,1.01,3.249,-3.207,0.229,0.679,-0.835,0.311,-0.179,0.266,-1.281,0.512,-0.304,0.429,-1.918,,
3.291,1.622,1.447,1.594,0.493,0.44,0.484,0.218,0.367,0.108,0.666,0.326,0.551,0.496,0.162,-0.946,0.17,64.41,30.022,0.466,21.207,43.202,0.491,21.207,13.286,21.517,25.482,31.86,38.35,41.475,47.875,0.483,0.229,0.076,0.15,1.227,0.56,720.5240175,0.449,3.317,0.483,0.873,0.122,0.037,1.13,3.291,-3.286,0.358,0.786,-0.825,0.445,-0.4,0,-1.051,0.568,-0.511,0,-1.108,,
3.776,1.515,1.797,2.307,0.394,0.461,0.619,0.554,0.523,0.444,1.011,0.545,0.525,0.793,0.435,-0.675,0.788,74.187,26.028,0.367,36.88,37.307,1.02,36.88,16.872,27.569,32.855,41.629,51.041,55.821,66.502,0.367,-0.207,0.036,-0.031,1.324,0.539,772.9468599,0.457,3.921,0.367,0.913,0.104,0.027,0.262,3.776,-3.7,0.34,0.289,-0.068,0.353,-0.511,0.209,-0.307,2.556,-2.081,1.675,-2.457,,
2.881,1.495,1.022,1.433,0.512,0.353,0.497,0.239,0.393,0.124,0.796,0.311,0.514,0.52,0.162,-1.037,0.353,72.395,34.465,0.494,23.974,48.421,0.531,23.974,15.26,24.905,29.669,37.632,46.653,51.552,62.41,0.458,0.243,0.06,0.154,1.146,0.647,641.9753086,0.557,3.076,0.458,0.867,0.1,0.035,0.803,2.881,-2.944,0.146,0.538,-0.645,0.238,-0.123,0.064,-1.204,0.454,-0.246,0.121,-1.533,,
2.79,1.288,0.889,1.42,0.453,0.312,0.51,0.24,0.382,0.135,0.733,0.333,0.534,0.555,0.188,-0.974,0.515,63.117,30.329,0.487,22.362,40.755,0.579,22.362,13.812,22.457,26.679,33.59,40.88,44.571,53.063,0.432,0.207,0.06,0.143,1.217,0.688,830.9178744,0.494,2.966,0.432,0.871,0.102,0.037,0.814,2.79,-2.808,0.219,0.573,-0.68,0.334,-0.211,0.083,-1.208,0.611,-0.399,0.156,-1.576,,
3.13,0.344,0.404,1.625,0.109,0.13,0.519,0.284,0.471,0.173,0.75,0.371,0.624,0.586,0.222,-0.941,0.798,49.691,32.528,0.656,23.063,26.628,0.866,23.063,14.767,23.843,28.184,35.081,41.898,45.06,51.089,0.334,0.222,0.059,0.188,1.688,0.87,788.2882883,0.467,3.153,0.334,0.904,0.105,0.034,0.702,3.13,-3.134,0.794,0.523,-0.691,0.513,-0.308,0,-1.322,0.987,-0.596,0,-1.713,,
